"T_2_1","T_2_10","T_2_12","T_2_2","T_2_3","T_2_6","T_2_7","T_2_9","T_3_2","T_3_3","T_3_5","T_4_3","T_4_4","T_4_5","T_4_6","T_4_7","T_5_2","T_5_3","T_5_4","T_5_5","T_6_2","T_6_5","T_6_7","T_6_8","T_9_1","T_9_2","T_9_3","T_9_4","T_9_5","V_1_2","V_10_1","V_11_1","V_11_2","V_11_3","V_12_1","V_12_2","V_13_1","V_13_2","V_14_1","V_14_2","V_14_3","V_15_1","V_15_2","V_15_3","V_16_1","V_16_2","V_17_1","V_17_2","V_18_1","V_18_2","V_18_3","V_18_4","V_19_1","V_19_2","V_19_3","V_2_1","V_2_2","V_2_3","V_20_1","V_21_1","V_21_4","V_22_1","V_22_3","V_22_4","V_3_1","V_3_2","V_4_1","V_4_2","V_5_1","V_5_3","V_6_1","V_6_2","V_6_3","V_7_1","V_7_2","V_7_3","V_8_2","V_9_1","V_9_2","V_9_3","V_9_4"
"T_9_3",13,7,6,13,13,13,7,13,13,10,7,9,13,13,13,10,13,13,9,10,9,12,13,12,2,12,13,12,12,11,11,11,11,13,11,11,12,12,13,7,13,12,13,13,12,13,12,13,11,11,10,12,13,12,12,10,11,11,11,11,11,12,11,12,12,12,11,12,11,12,12,13,13,11,12,13,12,12,11,10,12
"T_9_4",13,7,6,15,15,16,7,17,16,13,9,9,15,15,15,12,16,16,10,11,9,14,16,14,2,16,12,18,16,13,14,14,13,15,13,13,14,15,17,9,16,15,16,15,14,16,15,16,13,14,12,15,16,15,14,10,13,13,14,13,13,14,13,14,14,14,13,14,13,15,15,16,15,14,15,16,14,17,13,11,14
"T_9_5",13,7,6,15,15,16,7,16,17,13,9,9,16,16,15,12,15,15,10,11,9,14,16,14,2,16,12,16,18,12,13,13,13,15,14,13,14,14,16,8,15,14,16,15,13,16,14,15,12,13,12,15,15,14,14,10,13,13,14,13,13,14,14,15,15,14,13,14,12,14,14,15,16,14,15,16,14,15,13,11,15
"V_1_2",12,6,6,12,12,14,6,14,13,9,7,9,13,13,13,11,13,13,8,9,7,12,13,12,2,12,11,13,12,14,14,14,13,13,13,13,13,14,14,9,14,14,13,13,14,14,14,14,14,14,12,14,14,14,13,11,13,13,14,13,13,13,12,13,13,13,12,13,14,14,14,14,13,14,14,14,13,14,13,12,13
"V_10_1",12,6,6,14,14,17,6,17,15,10,8,9,16,15,15,13,15,15,9,9,7,13,14,14,2,13,11,14,13,14,18,17,16,16,16,16,15,18,17,9,16,18,17,17,16,17,17,18,16,18,15,18,17,17,16,12,16,16,18,17,17,16,15,16,16,16,15,16,15,17,17,17,16,16,17,17,16,18,15,12,16
"V_11_1",13,6,6,15,15,21,6,20,16,11,9,9,19,19,20,14,17,16,9,9,7,14,18,17,2,13,11,14,13,14,17,27,18,24,16,16,15,17,16,9,17,18,21,22,15,16,17,17,15,17,18,22,16,19,20,11,18,17,17,16,17,24,18,19,18,19,17,23,15,21,19,18,22,16,24,25,19,17,16,12,21
"V_11_2",13,6,6,15,15,17,6,17,16,11,9,9,18,16,16,14,16,15,9,9,7,14,15,16,2,13,11,13,13,13,16,18,18,18,16,16,15,16,15,8,15,17,18,18,14,15,16,16,14,16,16,17,15,17,17,11,17,16,16,16,17,18,16,17,17,17,15,17,14,18,17,17,17,15,18,18,17,16,16,12,17
"V_11_3",15,7,6,17,17,22,7,21,18,13,10,9,21,21,22,15,18,17,11,11,9,16,20,19,2,15,13,15,15,13,16,24,18,27,16,16,16,17,17,8,18,18,23,24,15,17,17,18,14,16,18,22,17,19,21,11,18,17,16,16,17,26,19,21,19,20,18,23,14,21,19,19,24,15,24,27,20,17,16,12,22
"V_12_1",12,6,6,14,14,15,6,15,15,10,8,9,17,15,15,13,14,14,9,9,7,13,14,14,2,13,11,13,14,13,16,16,16,16,17,16,15,16,15,8,15,16,16,16,14,16,16,16,14,16,15,17,15,16,16,11,16,16,17,16,16,16,16,17,17,16,15,16,14,16,16,16,17,16,17,16,16,16,15,12,17
"V_12_2",12,6,6,14,14,15,6,15,15,10,8,9,16,15,15,13,14,14,9,9,7,13,14,14,2,13,11,13,13,13,16,16,16,16,16,16,15,16,15,8,15,16,16,16,14,15,16,16,14,16,15,16,15,16,16,11,16,16,16,16,16,16,15,16,16,16,15,16,14,16,16,16,16,15,16,16,16,16,15,12,16
"V_13_1",13,7,6,15,15,16,6,16,16,11,9,9,16,16,16,14,15,15,10,10,8,14,15,15,2,14,12,14,14,13,15,15,15,16,15,15,16,16,15,8,16,16,16,16,14,15,15,16,14,15,14,15,15,15,15,11,15,15,15,15,15,15,14,15,15,16,14,15,13,15,16,16,16,15,15,16,15,15,14,12,15
"V_13_2",13,7,6,15,15,18,6,18,16,11,9,9,17,16,16,14,16,16,10,10,8,14,15,15,2,14,12,15,14,14,18,17,16,17,16,16,16,19,18,9,17,19,18,18,16,18,17,19,16,18,15,18,18,17,16,12,16,16,18,17,17,16,15,16,16,17,15,16,15,17,18,18,17,16,17,18,16,18,15,12,16
"V_14_1",14,7,6,16,16,18,7,19,17,13,9,9,17,16,16,13,17,17,10,11,9,15,17,15,2,16,13,17,16,14,17,16,15,17,15,15,15,18,20,9,17,18,19,18,16,19,17,19,15,17,14,18,19,17,16,12,15,15,17,16,16,16,15,16,16,16,15,16,15,17,17,18,17,15,17,18,16,19,15,12,16
"V_14_2",8,5,4,8,8,9,5,9,8,7,6,7,8,8,8,7,9,9,7,7,5,7,8,8,2,8,7,9,8,9,9,9,8,8,8,8,8,9,9,9,9,9,8,8,9,9,9,9,9,9,8,9,9,9,8,7,8,8,9,8,8,8,8,8,8,8,8,8,9,9,9,9,8,9,9,9,8,9,8,7,8
